season,y_bins,goal_dist_bins,total,average_per_hour,y_mid,goal_mid
2016,"(-40, -38]","(0, 2]",5,0.0004493170381020848,-39.0,1.0
2016,"(-40, -38]","(2, 4]",6,0.0005391804457225018,-39.0,3.0
2016,"(-40, -38]","(4, 6]",4,0.0003594536304816679,-39.0,5.0
2016,"(-40, -38]","(6, 8]",10,0.0008986340762041696,-39.0,7.0
2016,"(-40, -38]","(8, 10]",18,0.0016175413371675054,-39.0,9.0
2016,"(-40, -38]","(10, 12]",13,0.0011682242990654205,-39.0,11.0
2016,"(-40, -38]","(12, 14]",27,0.002426312005751258,-39.0,13.0
2016,"(-40, -38]","(14, 16]",22,0.001976994967649173,-39.0,15.0
2016,"(-40, -38]","(16, 18]",29,0.002606038820992092,-39.0,17.0
2016,"(-40, -38]","(18, 20]",26,0.002336448598130841,-39.0,19.0
2016,"(-40, -38]","(20, 22]",26,0.002336448598130841,-39.0,21.0
2016,"(-40, -38]","(22, 24]",18,0.0016175413371675054,-39.0,23.0
2016,"(-40, -38]","(24, 26]",34,0.003055355859094177,-39.0,25.0
2016,"(-40, -38]","(26, 28]",31,0.002785765636232926,-39.0,27.0
2016,"(-40, -38]","(28, 30]",17,0.0015276779295470885,-39.0,29.0
2016,"(-40, -38]","(30, 32]",19,0.0017074047447879223,-39.0,31.0
2016,"(-40, -38]","(32, 34]",16,0.0014378145219266715,-39.0,33.0
2016,"(-40, -38]","(34, 36]",18,0.0016175413371675054,-39.0,35.0
2016,"(-40, -38]","(36, 38]",14,0.0012580877066858376,-39.0,37.0
2016,"(-40, -38]","(38, 40]",12,0.0010783608914450035,-39.0,39.0
2016,"(-40, -38]","(40, 42]",18,0.0016175413371675054,-39.0,41.0
2016,"(-40, -38]","(42, 44]",8,0.0007189072609633358,-39.0,43.0
2016,"(-40, -38]","(44, 46]",5,0.0004493170381020848,-39.0,45.0
2016,"(-40, -38]","(46, 48]",4,0.0003594536304816679,-39.0,47.0
2016,"(-40, -38]","(48, 50]",5,0.0004493170381020848,-39.0,49.0
2016,"(-40, -38]","(50, 52]",3,0.0002695902228612509,-39.0,51.0
2016,"(-40, -38]","(52, 54]",4,0.0003594536304816679,-39.0,53.0
2016,"(-40, -38]","(54, 56]",5,0.0004493170381020848,-39.0,55.0
2016,"(-40, -38]","(56, 58]",7,0.0006290438533429188,-39.0,57.0
2016,"(-40, -38]","(58, 60]",2,0.00017972681524083394,-39.0,59.0
2016,"(-40, -38]","(60, 62]",5,0.0004493170381020848,-39.0,61.0
2016,"(-40, -38]","(62, 64]",2,0.00017972681524083394,-39.0,63.0
2016,"(-40, -38]","(64, 66]",0,0.0,-39.0,65.0
2016,"(-40, -38]","(66, 68]",0,0.0,-39.0,67.0
2016,"(-40, -38]","(68, 70]",0,0.0,-39.0,69.0
2016,"(-40, -38]","(70, 72]",0,0.0,-39.0,71.0
2016,"(-40, -38]","(72, 74]",0,0.0,-39.0,73.0
2016,"(-40, -38]","(74, 76]",0,0.0,-39.0,75.0
2016,"(-40, -38]","(76, 78]",0,0.0,-39.0,77.0
2016,"(-40, -38]","(78, 80]",0,0.0,-39.0,79.0
2016,"(-40, -38]","(80, 82]",0,0.0,-39.0,81.0
2016,"(-40, -38]","(82, 84]",0,0.0,-39.0,83.0
2016,"(-40, -38]","(84, 86]",0,0.0,-39.0,85.0
2016,"(-40, -38]","(86, 88]",0,0.0,-39.0,87.0
2016,"(-40, -38]","(88, 90]",0,0.0,-39.0,89.0
2016,"(-40, -38]","(90, 92]",0,0.0,-39.0,91.0
2016,"(-38, -36]","(0, 2]",7,0.0006290438533429188,-37.0,1.0
2016,"(-38, -36]","(2, 4]",4,0.0003594536304816679,-37.0,3.0
2016,"(-38, -36]","(4, 6]",17,0.0015276779295470885,-37.0,5.0
2016,"(-38, -36]","(6, 8]",14,0.0012580877066858376,-37.0,7.0
2016,"(-38, -36]","(8, 10]",25,0.002246585190510424,-37.0,9.0
2016,"(-38, -36]","(10, 12]",19,0.0017074047447879223,-37.0,11.0
2016,"(-38, -36]","(12, 14]",27,0.002426312005751258,-37.0,13.0
2016,"(-38, -36]","(14, 16]",27,0.002426312005751258,-37.0,15.0
2016,"(-38, -36]","(16, 18]",16,0.0014378145219266715,-37.0,17.0
2016,"(-38, -36]","(18, 20]",46,0.00413371675053918,-37.0,19.0
2016,"(-38, -36]","(20, 22]",32,0.002875629043853343,-37.0,21.0
2016,"(-38, -36]","(22, 24]",25,0.002246585190510424,-37.0,23.0
2016,"(-38, -36]","(24, 26]",38,0.0034148094895758447,-37.0,25.0
